Crash ID,State,Dayweek,Crash Type,Bus Involvement,Articulated Truck Involvement,Speed Limit,Road User,Gender,Age,Christmas Period,Easter Period,Age Group,Day of week,Time of day,DateTime,Year,Hour,Decade
20231143,NSW,Friday,Multiple,No,No,50,Passenger,Female,25,No,No,17_to_25,Weekend,Night,2023-08-01 23:45:00,2023,23,2020s
20233040,Qld,Saturday,Multiple,No,No,60,Passenger,Male,17,No,No,17_to_25,Weekend,Night,2023-08-01 02:00:00,2023,2,2020s
20231227,NSW,Saturday,Single,No,No,100,Driver,Male,23,No,No,17_to_25,Weekend,Night,2023-08-01 00:30:00,2023,0,2020s
20231127,NSW,Saturday,Multiple,No,No,50,Motorcycle rider,Male,23,No,No,17_to_25,Weekend,Night,2023-08-01 18:00:00,2023,18,2020s
20236016,Tas,Saturday,Single,No,No,100,Driver,Male,38,No,No,26_to_39,Weekend,Night,2023-08-01 23:00:00,2023,23,2020s
20231194,NSW,Thursday,Single,No,No,100,Driver,Male,25,No,No,17_to_25,Weekday,Night,2023-08-01 05:45:00,2023,5,2020s
20234022,SA,Tuesday,Single,No,No,100,Driver,Male,17,No,No,17_to_25,Weekday,Night,2023-08-01 18:40:00,2023,18,2020s
20237015,NT,Thursday,Multiple,No,No,50,Motorcycle rider,Male,33,No,No,26_to_39,Weekday,Night,2023-08-01 18:35:00,2023,18,2020s
20233119,Qld,Saturday,Single,No,No,100,Driver,Male,29,No,No,26_to_39,Weekend,Night,2023-08-01 05:00:00,2023,5,2020s
20236002,Tas,Monday,Single,No,No,80,Passenger,Male,36,No,No,26_to_39,Weekend,Night,2023-08-01 03:23:00,2023,3,2020s
20232202,Vic,Sunday,Single,No,No,80,Driver,Female,53,No,No,40_to_64,Weekend,Night,2023-08-01 23:18:00,2023,23,2020s
20231199,NSW,Sunday,Multiple,No,Yes,110,Driver,Male,23,No,No,17_to_25,Weekend,Day,2023-08-01 17:05:00,2023,17,2020s
20235015,WA,Sunday,Single,No,No,110,Driver,Male,21,No,No,17_to_25,Weekend,Day,2023-08-01 07:00:00,2023,7,2020s
20231088,NSW,Monday,Single,No,No,100,Driver,Male,60,No,No,40_to_64,Weekend,Night,2023-08-01 05:40:00,2023,5,2020s
20231031,NSW,Saturday,Single,No,No,50,Passenger,Male,43,No,No,40_to_64,Weekend,Night,2023-08-01 21:20:00,2023,21,2020s
20231236,NSW,Saturday,Multiple,No,No,100,Driver,Male,43,No,No,40_to_64,Weekend,Night,2023-08-01 20:55:00,2023,20,2020s
20235084,WA,Sunday,Single,No,No,90,Driver,Male,57,No,No,40_to_64,Weekend,Day,2023-08-01 09:05:00,2023,9,2020s
20231038,NSW,Saturday,Single,No,No,80,Driver,Male,43,No,No,40_to_64,Weekend,Night,2023-08-01 19:15:00,2023,19,2020s
20233173,Qld,Sunday,Multiple,No,Yes,100,Driver,Female,49,No,No,40_to_64,Weekend,Day,2023-08-01 12:00:00,2023,12,2020s
20233187,Qld,Sunday,Multiple,No,Yes,60,Driver,Male,46,No,No,40_to_64,Weekend,Day,2023-08-01 09:00:00,2023,9,2020s
20233148,Qld,Saturday,Multiple,No,No,100,Motorcycle rider,Male,40,No,No,40_to_64,Weekend,Day,2023-08-01 11:00:00,2023,11,2020s
20234041,SA,Sunday,Single,No,No,110,Driver,Male,49,No,No,40_to_64,Weekend,Day,2023-08-01 11:50:00,2023,11,2020s
20233090,Qld,Saturday,Multiple,No,No,50,Pedal cyclist,Male,65,No,No,65_to_74,Weekend,Day,2023-08-01 10:00:00,2023,10,2020s
20232103,Vic,Sunday,Multiple,No,No,100,Driver,Female,66,No,No,65_to_74,Weekend,Day,2023-08-01 16:30:00,2023,16,2020s
20231157,NSW,Sunday,Single,No,No,80,Pedal cyclist,Male,67,No,No,65_to_74,Weekend,Day,2023-08-01 13:50:00,2023,13,2020s
20231155,NSW,Friday,Multiple,No,No,100,Motorcycle rider,Male,44,No,No,40_to_64,Weekend,Night,2023-08-01 18:00:00,2023,18,2020s
20235017,WA,Wednesday,Single,No,No,50,Pedestrian,Male,78,No,No,75_or_older,Weekday,Day,2023-08-01 16:48:00,2023,16,2020s
20234085,SA,Sunday,Single,No,No,110,Driver,Female,85,No,No,75_or_older,Weekend,Day,2023-08-01 13:00:00,2023,13,2020s
